staging_relative_path,severity_label,file_size_bytes,width,height,aspect_ratio,image_mode,sha1_hash,duplicate_group_size,flags,recommendation
import_staging/accident_images_analysis_dataset/fatal/1789.jpg,fatal,914,28,28,1.0000,RGB,893822ebefe7f73dbf7e78878fb7269da2a5a474,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1790.jpg,fatal,913,28,28,1.0000,RGB,c5373782f0928f86b42d85e34a42bffab832bbc0,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1791.jpg,fatal,920,28,28,1.0000,RGB,e330901aa140c551e31b49785ccd790803c10ee6,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1792.jpg,fatal,979,28,28,1.0000,RGB,88a2d865634f30f8c26c95e7f7d23716982ec0fc,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1793.jpg,fatal,986,28,28,1.0000,RGB,07a2052c0e9f49deef521bc45faf83cb84961817,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1794.jpg,fatal,914,28,28,1.0000,RGB,0229e98c7ad0616eb580b0759ad041ed303f86bb,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1795.jpg,fatal,952,28,28,1.0000,RGB,3b6231bd7c15868dba2a327e805c259a7b8600f7,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1796.jpg,fatal,937,28,28,1.0000,RGB,974472eb6b407055374f31c63783830deeb62173,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1797.jpg,fatal,943,28,28,1.0000,RGB,99388afc4af924b99ba0264da4e9f7dc0e4e4b75,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1798.jpg,fatal,947,28,28,1.0000,RGB,0a625d467a6dff94a2d753bcfe035666a400491c,2,"duplicate_candidate,too_small",review_first
import_staging/accident_images_analysis_dataset/fatal/1799.jpg,fatal,947,28,28,1.0000,RGB,0a625d467a6dff94a2d753bcfe035666a400491c,2,"duplicate_candidate,too_small",review_first
import_staging/accident_images_analysis_dataset/fatal/1800.jpg,fatal,907,28,28,1.0000,RGB,29a89d40b8b0a78406c8ec7b17344fbbd85970f4,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1801.jpg,fatal,1043,28,28,1.0000,RGB,61bfa071c3f93aeef2ab99a485aeb26a22dccb12,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1802.jpg,fatal,982,28,28,1.0000,RGB,db6349a9fe5880b7732b336ebc1f730102cb3191,1,too_small,review_first
import_staging/accident_images_analysis_dataset/fatal/1803.jpg,fatal,833,28,28,1.0000,RGB,dd7aa6f075f957e9506975cc81d061e6a1a7f264,1,too_small,review_first
