staging_relative_path,severity_label,file_size_bytes,width,height,aspect_ratio,image_mode,sha1_hash,duplicate_group_size,flags,recommendation
import_staging/accident_severity_image_dataset_v4/fatal/1500-1-_jpg.rf.e8d74d288d0ac2d19a07046afb7b9197.jpg,fatal,11079,300,300,1.0000,RGB,83efd132d3368e6bae6c889e88fce6f1346b5e48,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1500-83-_jpg.rf.ede7a9e8fa8dac81b47d7bb67f25bf82.jpg,fatal,9347,300,300,1.0000,RGB,821a186d6f4c3f8552783701969455544295256c,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1500-93-_jpg.rf.e3ee1177db1b484e8d3cff36d7906ce5.jpg,fatal,11102,300,300,1.0000,RGB,c410b3b1b8a8312b9831e15594848f0198d5c531,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-14-_jpg.rf.64317a5795c79c7d09a7f1f23342e8a2.jpg,fatal,5777,300,300,1.0000,RGB,1519aae4fd3faec2999bef34fd20a9fa82b54f69,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-21-_jpg.rf.d104ca444bee36b1d31a0f20ce74bbf8.jpg,fatal,5712,300,300,1.0000,RGB,f9e37b0c981fecc31a60953c60258342db312d9a,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-3-_jpg.rf.dfa3bd41c43a857543b180524bfb5530.jpg,fatal,5373,300,300,1.0000,RGB,245a1958fc92d5235a9dadf8f76298441603425e,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-47-_jpg.rf.ef431793307dec40008e2844c9bdc905.jpg,fatal,5807,300,300,1.0000,RGB,952b11d78efe9f66a9e2d3f61827950c446b1869,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-5-_jpg.rf.9212c56eff8306496d518c79f762f88b.jpg,fatal,5506,300,300,1.0000,RGB,905940297e8a3387384056bdf375beb5d5b6e9b8,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-59-_jpg.rf.78b6caefc0eb64daa92cedfa01b7b7a6.jpg,fatal,5803,300,300,1.0000,RGB,5cac3d2fc69ace1e5fa46423a26511b19d1b8ddb,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1501-69-_jpg.rf.9faca15124ad0e83699f2eacfe89edfc.jpg,fatal,6155,300,300,1.0000,RGB,a631a412628a91213c76735baf7637b46d48a764,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1502-34-_jpg.rf.73f22ae8feaa435c19746fba657b8dbd.jpg,fatal,8887,300,300,1.0000,RGB,1de785c431e8c716269539ff6165ef6c38ba08e2,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1502-50-_jpg.rf.2058e6c760789a583423e8426a3fa7c4.jpg,fatal,7705,300,300,1.0000,RGB,542f73babd475f955e283c93d1cf65a6568d3f2f,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1504-1-_jpg.rf.21be764a82614dea60d64b99a96af468.jpg,fatal,5478,300,300,1.0000,RGB,8f31016c3a9872901d1fb8c0065466af012006ef,1,none,ready_for_human_review
import_staging/accident_severity_image_dataset_v4/fatal/1504-18-_jpg.rf.1c544d124a09126cf34a6418cafa8c27.jpg,fatal,5887,300,300,1.0000,RGB,8da852a630997ef1f8c323096c28c45c10ba7a78,1,none,ready_for_human_review
