image_relative_path,severity_label,source_domain,municipality,province,barangay,latitude,longitude,incident_type,description,weather,review_status,suggested_split,merge_stage
import_staging/accident_images_analysis_dataset/minor/1789.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1790.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1791.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1792.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1793.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1794.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1795.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,test,external_import
import_staging/accident_images_analysis_dataset/minor/1796.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1797.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1798.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1799.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,val,external_import
import_staging/accident_images_analysis_dataset/minor/1800.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1801.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,test,external_import
import_staging/accident_images_analysis_dataset/minor/1802.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1803.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1804.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1805.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,test,external_import
import_staging/accident_images_analysis_dataset/minor/1806.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1807.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1808.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1809.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1810.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,test,external_import
import_staging/accident_images_analysis_dataset/minor/1811.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,test,external_import
import_staging/accident_images_analysis_dataset/minor/1812.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1813.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,val,external_import
import_staging/accident_images_analysis_dataset/minor/1814.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1815.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1816.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1817.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1818.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1819.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
import_staging/accident_images_analysis_dataset/minor/1820.jpg,minor,road_accident,,,,,,vehicular_accident,Staged external import candidate for minor review.,unknown,needs_review,train,external_import
